,vote,sponsors,history,sponser_parties_set(),"sponser_parties_{'D', 'R'}",sponser_parties_{'D'},"sponser_parties_{'I', 'D', 'R'}","sponser_parties_{'I', 'D'}","sponser_parties_{'I', 'R'}",sponser_parties_{'I'},sponser_parties_{'R'},bill_type_B,bill_type_CR,bill_type_JR,bill_type_R,body_H,body_S,status_1,status_2,status_3,status_4,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
36,2,0.16091954022988506,0.12195121951219512,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0003120497626319011,0.6610656489302902,4.804227720542768e-06,0.0018145594890659946,0.0015398964193660929,0.00024745495192205803,0.0012475232342536787,0.007438975891105234,0.007173125180719648,0.0010426084968648672,0.0006604078908733582,0.0002830897876935599,0.0015887340180872492,4.804227720515831e-06,0.0010977595124250412,0.0010036708573070065,0.002252834357767617,0.010524861509494485,0.0032151937086458016,0.0023336702164404428,0.2634293879369674,0.001376521807487886,0.0001606573217424742,0.00454173716109903,0.02564002310230782
37,1,0.22413793103448276,0.1130820399113082,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0005633802817098723,0.7103225032187023,0.0005633802817016088,0.09478262805392942,0.0005633802816952494,0.0005633802816998656,0.0005633802817425536,0.05973315677673568,0.0005633802817396581,0.0005633802816952494,0.0005633802817071585,0.0005633802816952494,0.0005633802816980764,0.0005633802816952494,0.022935073211681645,0.0005633802816952494,0.0005633802818211761,0.0005633802817231286,0.0005633802817465557,0.0005633802817108289,0.0005633802816984883,0.06989741499597309,0.0005633802819149607,0.000563380281696286,0.03162499839019135
38,1,0.22413793103448276,0.1130820399113082,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0005633802817098723,0.7103225032187023,0.0005633802817016088,0.09478262805392942,0.0005633802816952494,0.0005633802816998656,0.0005633802817425536,0.05973315677673568,0.0005633802817396581,0.0005633802816952494,0.0005633802817071585,0.0005633802816952494,0.0005633802816980764,0.0005633802816952494,0.022935073211681645,0.0005633802816952494,0.0005633802818211761,0.0005633802817231286,0.0005633802817465557,0.0005633802817108289,0.0005633802816984883,0.06989741499597309,0.0005633802819149607,0.000563380281696286,0.03162499839019135
39,1,0.040229885057471264,0.017738359201773836,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.0004123711340262336,0.738241536327915,0.0004123711340262336,0.0004123711340262336,0.0004123711340262336,0.021030927836605345,0.03295625244820992,0.0117784716773909,0.00041237113416202006,0.0004123711340262336,0.0004123711340262336,0.00041237113402980513,0.0004123711340262336,0.00041237113402799435,0.0004123711340262336,0.000412371134032646,0.00041237113403710783,0.012829637587958784,0.14114586605074114,0.00041237113406001626,0.024285349309874457,0.010721649482614448,0.00041237113404004347,0.00041237113405377814,0.0004123711340365457
40,1,0.0,0.050997782705099776,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.000606060606109396,0.8357156319033555,0.000606060606066298,0.000606060606069679,0.000606060606066298,0.000606060606066298,0.0006060606060705801,0.0006060606061015543,0.0006060606060765768,0.000606060606066298,0.0006060606477549272,0.0006060606060699062,0.0006060606060746389,0.000606060606066298,0.000606060606066298,0.01575757575601936,0.000606060606066298,0.1013415710642922,0.016515332169378217,0.000606060606066298,0.0006060606060776004,0.018548676943803973,0.000606060606066298,0.0006060606060685778,0.0006060606060805414
41,3,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.0248793981122231,0.6269458937128755,0.0008333333333461041,0.0008333333333421874,0.0008333333333651063,0.0008333333333421865,0.0008333333333421865,0.031271846534978616,0.0008333333333499077,0.0008333333333421865,0.0008333333333421865,0.0008333333333421865,0.0008333333333421865,0.0008333333333585807,0.0008333333333421865,0.0008333333333421865,0.0008333333333558872,0.02342698745984683,0.0008333333333633676,0.0008333333333430142,0.0008333333333421865,0.0008333333333421865,0.0008333333333421865,0.2768092075131084,0.0008333333333793405
42,1,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.0248793981122231,0.6269458937128755,0.0008333333333461041,0.0008333333333421874,0.0008333333333651063,0.0008333333333421865,0.0008333333333421865,0.031271846534978616,0.0008333333333499077,0.0008333333333421865,0.0008333333333421865,0.0008333333333421865,0.0008333333333421865,0.0008333333333585807,0.0008333333333421865,0.0008333333333421865,0.0008333333333558872,0.02342698745984683,0.0008333333333633676,0.0008333333333430142,0.0008333333333421865,0.0008333333333421865,0.0008333333333421865,0.2768092075131084,0.0008333333333793405
43,1,0.06896551724137931,0.1352549889135255,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0005405405405444049,0.8186474806438385,0.0005405405405444049,0.0005405405405444056,0.0005405405405444049,0.0005405405405444049,0.0005405405405780687,0.1127636891031124,0.0005405405405659113,0.0005405405405444049,0.0005405405405444049,0.0005405405405444049,0.0005405405405519814,0.000540540540546817,0.0005405405405615472,0.0005405405405444049,0.0005405405405446243,0.0005405405405607933,0.0005405405405444049,0.0005405405405444049,0.000540540540578501,0.0005405405405487484,0.0005405405405554915,0.0005405405405510064,0.05669693836091703
44,1,0.06896551724137931,0.1352549889135255,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0005405405405444049,0.8186474806438385,0.0005405405405444049,0.0005405405405444056,0.0005405405405444049,0.0005405405405444049,0.0005405405405780687,0.1127636891031124,0.0005405405405659113,0.0005405405405444049,0.0005405405405444049,0.0005405405405444049,0.0005405405405519814,0.000540540540546817,0.0005405405405615472,0.0005405405405444049,0.0005405405405446243,0.0005405405405607933,0.0005405405405444049,0.0005405405405444049,0.000540540540578501,0.0005405405405487484,0.0005405405405554915,0.0005405405405510064,0.05669693836091703
45,1,0.06896551724137931,0.1352549889135255,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0005405405405444049,0.8186474806438385,0.0005405405405444049,0.0005405405405444056,0.0005405405405444049,0.0005405405405444049,0.0005405405405780687,0.1127636891031124,0.0005405405405659113,0.0005405405405444049,0.0005405405405444049,0.0005405405405444049,0.0005405405405519814,0.000540540540546817,0.0005405405405615472,0.0005405405405444049,0.0005405405405446243,0.0005405405405607933,0.0005405405405444049,0.0005405405405444049,0.000540540540578501,0.0005405405405487484,0.0005405405405554915,0.0005405405405510064,0.05669693836091703
